Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 129.0.0.0,,,22-09-2024 16:58:04,22-09-2024 16:59:09,1m - 4.662s,PASSED
,,,,,,,
Test Cases/3. Add product to cart,Chrome 129.0.0.0,,,22-09-2024 16:58:04,22-09-2024 16:58:33,29.137s,PASSED
openBrowser(baseUrl),Chrome 129.0.0.0,,,22-09-2024 16:58:05,22-09-2024 16:58:10,5.673s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,22-09-2024 16:58:10,22-09-2024 16:58:10,0.082s,PASSED
"verifyElementPresent(findTestObject(""home-page/headphone-category""), 0)",Chrome 129.0.0.0,,,22-09-2024 16:58:10,22-09-2024 16:58:15,4.500s,PASSED
"click(findTestObject(""home-page/headphone-category""))",Chrome 129.0.0.0,,,22-09-2024 16:58:15,22-09-2024 16:58:15,0.349s,PASSED
"verifyElementPresent(findTestObject(""headphone-product-list-page/header""), 0)",Chrome 129.0.0.0,,,22-09-2024 16:58:15,22-09-2024 16:58:17,2.099s,PASSED
"click(findTestObject(""headphone-product-list-page/product""))",Chrome 129.0.0.0,,,22-09-2024 16:58:17,22-09-2024 16:58:18,0.310s,PASSED
"click(findTestObject(""detail-product-page/plus""))",Chrome 129.0.0.0,,,22-09-2024 16:58:18,22-09-2024 16:58:25,7.614s,PASSED
"click(findTestObject(""detail-product-page/add2cart-btn""))",Chrome 129.0.0.0,,,22-09-2024 16:58:25,22-09-2024 16:58:26,0.345s,PASSED
delay(5),Chrome 129.0.0.0,,,22-09-2024 16:58:26,22-09-2024 16:58:31,5.068s,PASSED
"click(findTestObject(""detail-product-page/cart-icon""))",Chrome 129.0.0.0,,,22-09-2024 16:58:31,22-09-2024 16:58:31,0.493s,PASSED
"verifyElementPresent(findTestObject(""cart-page/checkout-btn""), 0)",Chrome 129.0.0.0,,,22-09-2024 16:58:31,22-09-2024 16:58:33,1.895s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.233s,PASSED
"click(findTestObject(""cart-page/checkout-btn""))",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"click(findTestObject(""payment-page/register-btn""))",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"setText(findTestObject(""register-page/username-field""), ""hasbullah5"")",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.016s,NOT_RUN
"setText(findTestObject(""register-page/email-field""), ""hasbullah@test.com"")",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"setText(findTestObject(""register-page/password-field""), ""T3st"")",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"setText(findTestObject(""register-page/cnf-password-field""), ""T3st"")",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"scrollToElement(findTestObject(""register-page/state-field""), 0)",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.016s,NOT_RUN
"click(findTestObject(""register-page/snk-checkbox""))",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"click(findTestObject(""register-page/submit-btn""))",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"click(findTestObject(""payment-page/next-btn""))",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
"click(findTestObject(""payment-page/master-radiobtn""))",Chrome 129.0.0.0,,,22-09-2024 16:58:33,22-09-2024 16:58:33,0.000s,NOT_RUN
